Minister,Row_ID,Column I,Column II,Column III
Hon. Minister of Defence,1,Duties & Functions,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
Hon. Minister of Defence,2,"Formulation, implementation, monitoring and evaluation of policies, programmes and projects, in relation to the subject of Defence, and those subjects that come under the purview of Departments, Statutory Institutions and Public Corporations listed in Column II based on the national policies implemented by the government.","Office of the Chief of Defence Staff
2. Sri Lanka Army
3. Sri Lanka Navy
4. Sri Lanka Air Force
5. State Intelligence Service
6. Civil Security Department
7. Department of Multipurpose Development Task Force
8. National Cadet Corps
9. National Authority for the Implementation of Chemical Weapons Convention
10. Sir John Kotelawala Defence University
11. Defence Services Command and Staff College
12. Miloda Institute - as a Faculty of Kotelawala Defence University
13. Defence Services School
14. Defence Research and Development Centre
15. Institute of National Security Studies
16. National Defence College
17. Rakna Arakshana Lanka Ltd.
18. Coast Guard Department of Sri Lanka","Chief of Defence Staff Act, No. 35 of 2009
Army Act No. 17 of 1949
Navy Act No. 34 of 1950
Air Force Act No. 41 of 1949
Extradition Law, No. 8 of 1977
Explosives Act, No. 21 of 1956
Firearms Ordinance No. 33 of 1916
Firing Ranges and Military Training Act, No. 24 of 1951
Mobilization and Supplementary Forces Act, No. 40 of 1985
Offensive Weapons Act, No. 18 of 1966
Piracy Act, No. 9 of 2001
Prevention of Terrorism Act, No. 48 of 1979
Public Security Ordinance, No. 25 of 1947
Chemical Weapons Convention Act, No. 58 of 2007
Sir John Kotelawala Defence Academy Act, No. 68 of 1981
Defence Services Command and Staff College Act, No. 5 of 2008
Suppression of Terrorist Bombings Act, No. 11 of 1999
Suppression of Unlawful Acts Against the Safety of Maritime Navigation Act, No. 42 of 2000"
Hon. Minister of Defence,3,Provision of public services under the purview of the Ministry in an efficient and people friendly manner.,,
Hon. Minister of Defence,4,"Reforming all systems and procedures using modern management techniques and technology, thus ensuring that the functions of the Ministry are fulfilled while eliminating corruption and waste.",,
Hon. Minister of Defence,5,Ensuring national security.,,
Hon. Minister of Defence,6,Maintenance of internal security.,,
Hon. Minister of Defence,7,Maintenance of national and internal security-related intelligence services.,,
Hon. Minister of Defence,8,Maintenance of relations with visiting Armed Forces,,
Hon. Minister of Defence,9,Extension of cooperation to international humanitarian operations.,,
Hon. Minister of Defence,10,Matters relating to explosives and firearms,,Laws and Ordinance to be Implemented
Hon. Minister of Defence,11,Matters relating to maintenance of light houses (other than those belonging to the Ports Authority),"Departments, Statutory Institutions & Public Corporations",
Hon. Minister of Defence,12,Duties & Functions,,
Hon. Minister of Defence,13,Encourage research and development into appropriate technology for housing and construction sector,,
Hon. Minister of Defence,14,"Promote sustained development in the telecommunication industry by shaping the regulatory process, protecting public interest and being responsive to challenges in an increasingly competitive market",,
Hon. Minister of Defence,15,All other subjects that come under the purview of Institutions listed in Column II,,
Hon. Minister of Defence,16,Supervision of all the Institutions listed in Column II,,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,1,Duties & Functions,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,2,"Formulation, implementation, monitoring and evaluation of policies, programmes and projects, in relation to the subjects of Finance, Economic Stabilization and Taxation and those subjects that come under the purview of Departments, Statutory Institutions and Public Corporations listed in Column II based on the national policies implemented by the government.","National Planning Department
Department of Project Management and Monitoring
Department of External Resources
State Resources Management Corporation
General Treasury
Department of Fiscal Policy
Department of National Budget
Department of Management Services","
• Appropriation Acts
• Customs Ordinance, No. 17 of 1956
• Foreign Loans Act, No. 29 of 1957
• Debits Tax Act, No. 12 of 2007
• Betting and Gaming Levy Act, No. 40 of 1998
• Economic Service Charge Act, No. 13 of 2006
• Public Service Mutual Provident Association Ordinance, No. 5 of 1891"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,3,Provision of public services under the purview of the Ministry in an efficient and people friendly manner,,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,4,,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,5,Duties & Functions,Department of Public Finance,• Excise Ordinance (Chapter 52)
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,6,"Reforming all systems and procedures using modern management techniques and technology, thus ensuring that the functions of the Ministry are fulfilled while eliminating corruption and waste.",9. Department of Public Finance,"• Finance Leasing Act, No. 56 of 2000"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,7,Formulation of national economic and financial policies and strategies,10. Department of Treasury Operations,"• Financial Transactions Reporting Act, No. 6 of 2006"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,8,Preparation of national development and public investment programmes,11. Department of State Accounts,"• Public Fiscal Management (Responsibility) Act, No. 3 of 2003"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,9,Formulation of fiscal and macro fiscal management policies,12. Department of Trade and Investment Policies,"• Regulation of Insurance Industry Act, No. 43 of 2000"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,10,Identify causes for the economic crises and introduce immediate resuscitation remedies and programmes,13. Department of Information Technology Management,"• Lady Lochore Fund Act, No. 38 of 1951"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,11,"Introduce, implement and monitor economic reforms programmes needed to establish a stable and sustainable economic growth in the country.",14. Department of Legal Affairs,"• Nation Building Tax Act, No. 9 of 2009"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,12,Monitor the mechanism for implementation of cross-sectoral national policy priorities.,15. Department of Management Audit,"• Local Treasury Bills Ordinance, No. 8 of 1923"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,13,Function as the Focal Point for facilitation and coordination of international and regional trade integration including bilateral and multilateral trade agreements and resolution of disputes arising from these agreements.,16. Department of Development Finance,"• Business Names Act, No. 07 of 1987"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,14,Preparation of the annual budget and management of financial resources,17. Department of Public Enterprises,• Companies Act No. 07 of 2007
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,15,,18. Office of Comptroller General,• Trade Marks Act No. 30 of 1964
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,16,,19. Department of Inland Revenue,• Cheetus Ordinance No. 61 of 1935
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,17,Duties & Functions,20. Sri Lanka Customs,• Public Contract Act No. 03 of 1987
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,18,Supervision of departmental and other public funds,21. Department of Excise,"• Prevention of Money Laundering Act, No. 5 of 2006"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,19,Maintenance of Treasury Minutes on reports of the Public Accounts Committee,22. National Lotteries Board,"• Sri Lanka Accounting and Auditing Standards Act, No. 15 of 1995"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,20,Cadre management and advisory services on fixing of salaries,23. Development Lotteries Board,"• Import and Export (Control) Act, No. 1 of 1969"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,21,Monetary policy formulation and macroeconomic management in coordination with the Central Bank of Sri Lanka,24. Department of Valuation,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,22,Revenue collection and expenditure monitoring,25. Import and Export Control Department,• Sri Lanka Export Development Act No. 40 of 1979
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,23,Formulation of guidelines for the promotion of management audit in departments,26. Sri Lanka Export Development Board,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,24,Regulation of insurance industry,27. Central Bank of Sri Lanka,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,25,"Financial administration of Public Corporations, Statutory Boards and Government Owned Companies","28. All State Banks, Financial Institutions, Insurance Companies and their subsidiaries and related institutions",
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,26,Development of Colombo Port City Special Economic Zone as an International Business and Services Hub with specialized infrastructure and other facilities aimed at national interest and economic advancement.,,Laws and Ordinance to be Implemented
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,27,Finalizethe liquidation and amalgamation work of Institutions listed in Column II from item No. 52 to 59.,"Departments, Statutory Institutions & Public Corporations",Bank of Ceylon Ordinance No. 53 of 1938
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,28,All other subjects that come under the purview of Institutions listed in Column II,National Insurance Trust Fund,"Banking Act, No. 30 of 1988"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,29,Supervision of all the Institutions listed in Column II,Employees' Trust Fund,"Housing Development Finance Corporation Act, No. 07 of 1997"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,30,,Lady Lochore Fund,"Recovery of loans by Banks (Special Provisions) Act, No. 4 of 1990"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,31,,Board of Investment of Sri Lanka,"Securities and Exchange Commission of Sri Lanka Act, No. 36 of 1987"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,32,,Colombo Port City Economic Commission,"Regional Development Banks Act, No. 41 of 2008"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,33,,Department of Telecommunications,"National Insurance Trust Fund Act, No. 28 of 2006"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,34,,Wildlife Trust,Employees' Trust Fund (Special Provisions) Act No. 19 of 1993
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,35,,Sri Lanka Media Training Institute,Excise (Special Provisions) Act No. 13 of 1989
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,36,,"Pulse Crops, Grain Research and Production Authority",Registered Stock and Securities Ordinance No. 07 of 1937
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,37,,Janatha Fertilizer Enterprises Ltd,"Payment and Settlement Systems Act, No. 28 of 2005"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,38,,Protection of Children National Trust Fund,"Finance Business Act, No. 42 of 2011"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,39,,,"Foreign Exchange Act, No. 12 of 2017"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,40,,,Census Ordinance (Chapter 143)
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,41,,,"Insurance Corporation Act, No. 02 of 1961"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,42,,,"Credit Information Bureau of Sri Lanka Act, No. 18 of 1990"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,43,,,1. Microfinance Act No. 6 of 2016
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,44,,,2. Finance Companies Act No. 78 of 1988
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,45,,,3. Exchange Control Act No. 24 of 1953
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,46,,,"4. Sri Lanka State Mortgage and Investment Bank Act, No. 13 of 1975"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,47,,,"5. Casino Business (Regulation) Act, No. 17 of 2010"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,48,,,"6. Payment Devices Frauds Act, No. 30 of 2006"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,49,,,7. Greater Colombo Economic Commission Law No. 4 of 1978 (Board of Investment of Sri Lanka Law)
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,50,,,"8. Colombo Port City Economic Commission Act, No. 11 of 2021"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,51,,,"9. Revival (Removal) of Underperforming Enterprises or Underutilized Assets Act, No. 12 of 2019"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,52,,,"10. Institute of Chartered Accountants Act, No. 23 of 1959"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,53,,,11. Strategic Development Project Act No. 14 of 2008
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES,54,,,"12. All other legislations pertaining to the subjects specified in Column I and II, and not specifically brought under the purview of any other Minister."
Hon. XYZ,1,Duties & Functions,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
