Minister,Row_ID,Column I,Column II,Column III
Minister of Defence,1,Duties & Functions,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
Minister of Defence,2,"1. Formulation, implementation, monitoring and evaluation of policies, programmes and projects, in relation to the subject of Defence, and those subjects that come under the purview of Departments, Statutory Institutions and Public Corporations listed in Column II based on the national policies implemented by the government.","1. Office of the Chief of Defence Staff
2. Sri Lanka Army
3. Sri Lanka Navy
4. Sri Lanka Air Force
5. State Intelligence Service
6. Civil Security Department
7. Department of Multipurpose Development Task Force
8. National Cadet Corps
9. National Authority for the Implementation of Chemical Weapons Convention
10. Sir John Kotelawala Defence University
11. Defence Services Command and Staff College
12. Miloda Institute - as a Faculty of Kotelawala Defence University
13. Defence Services School
14. Defence Research and Development Centre
15. Institute of National Security Studies
16. National Defence College
17. Rakna Arakshana Lanka Ltd.
18. Coast Guard Department of Sri Lanka","Chief of Defence Staff Act, No. 35 of 2009
Army Act No. 17 of 1949
Navy Act No. 34 of 1950
Air Force Act No. 41 of 1949
Extradition Law, No. 8 of 1977
Explosives Act, No. 21 of 1956
Firearms Ordinance No. 33 of 1916
Firing Ranges and Military Training Act, No. 24 of 1951
Mobilization and Supplementary Forces Act, No. 40 of 1985
Offensive Weapons Act, No. 18 of 1966
Piracy Act, No. 9 of 2001
Prevention of Terrorism Act, No. 48 of 1979
Public Security Ordinance, No. 25 of 1947
Chemical Weapons Convention Act, No. 58 of 2007
Sir John Kotelawala Defence Academy Act, No. 68 of 1981
Defence Services Command and Staff College Act, No. 5 of 2008
Suppression of Terrorist Bombings Act, No. 11 of 1999
Suppression of Unlawful Acts Against the Safety of Maritime Navigation Act, No. 42 of 2000"
Minister of Defence,3,2. Provision of public services under the purview of the Ministry in an efficient and people friendly manner.,,
Minister of Defence,4,"3. Reforming all systems and procedures using modern management techniques and technology, thus ensuring that the functions of the Ministry are fulfilled while eliminating corruption and waste.",,
Minister of Defence,5,4. Ensuring national security.,,
Minister of Defence,6,5. Maintenance of internal security.,,
Minister of Defence,7,6. Maintenance of national and internal security-related intelligence services.,,
Minister of Defence,8,7. Maintenance of relations with visiting Armed Forces,,
Minister of Defence,9,8. Extension of cooperation to international humanitarian operations.,,
Minister of Defence,10,9. Matters relating to explosives and firearms,,
Minister of Defence,11,10. Matters relating to maintenance of light houses (other than those belonging to the Ports Authority),,Laws and Ordinance to be Implemented
Minister of Defence,12,Duties & Functions,"Departments, Statutory Institutions & Public Corporations","• Private Security Agencies Act, No. 45 of 1998"
Minister of Defence,13,11. Provision of defence education and post-service education for defence service personnel,19. National Dangerous Drugs Control Board,"• Department of Coast Guard Act, No. 41 of 2009"
Minister of Defence,14,12. Provision of higher education for defence service personnel,20. National Defence Fund,"• Convention against Illicit Traffic in Narcotic Drugs and Psychotropic Substances Act, No. 1 of 2008"
Minister of Defence,15,13. Matters relating to private security services,21. Ranaviru Seva Authority,"• National Dangerous Drugs Control Board Act, No. 11 of 1984"
Minister of Defence,16,14. Rescue operations and administration of Coast Guard Service,22. Api Wenuwen Api Fund,"• Ranaviru Seva Authority Act, No. 54 of 1999"
Minister of Defence,17,15. Matters relating to Extradition,23. Department of Meteorology,"• Api Wenuwen Api Fund Act, No. 6 of 2008"
Minister of Defence,18,16. Prevention and control of the use of dangerous drugs,24. National Disaster Management Council,"• Sri Lanka Disaster Management Act, No. 13 of 2005"
Minister of Defence,19,17. Matters relating to veteran and disabled soldiers,25. Disaster Management Centre,"• Sri Lanka Telecommunications Act, No. 25 of 1991"
Minister of Defence,20,18. Provision of weather and climate related services,26. National Disaster Relief Services Centre,"• All other legislations pertaining to the subjects specified in Column I and II, and not specifically brought under the purview of any other Minister."
Minister of Defence,21,19. Meteorological surveys and research,27. National Building Research Organization,
Minister of Defence,22,20. Landslide disaster management and related research and development,,
Minister of Defence,23,21. Forecasting natural disasters and sensitizing relevant sectors regarding them,,
Minister of Defence,24,22. Coordination of awareness programmes on natural and man-made disasters,,
Minister of Defence,25,23. Conduct rescue operations during natural and man-made disasters,,
Minister of Defence,26,24. Promotion of disaster resilient construction and provision of technical guidance.,,
