Minister,Row_ID,Column I,Column II,Column III
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,1,Duties & Functions,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,2,12. Ensuring the execution of the national budget and enforcing budgetary and financial controls,29. Insurance Regulatory Commission of Sri Lanka,"<br/>Stamp Duty (Special Provisions) Act, No. 12 of 2006<br/>Stamp Duty (Special Provisions) Act, No. 10 of 2008<br/>Stamps Duty Act, No. 43 of 1982<br/>Value Added Tax Act, No. 14 of 2002<br/>Welfare Benefits Act, No. 24 of 2002<br/>Finance Act, No. 38 of 1971<br/>Environment Conservation Levy Act, No. 26 of 2008<br/>Tax Appeals Commission Act, No. 23 of 2008<br/>Public Utilities Commission of Sri Lanka Act No. 35 of 2002<br/>Institute of Policy Studies of Sri Lanka Act No. 53 of 1988<br/>Sustainable Development Act No. 19 of 2017<br/>Development Lotteries Board Act, No. 20 of 1997<br/>Sri Lanka Export Credit Insurance Act, No. 15 of 1978<br/>Inland Revenue Act, No. 24 of 2017<br/>Monetary Law Act No. 58 of 1949<br/>National Savings Bank Act, No. 30 of 1971<br/>People's Bank Act, No. 29 of 1961"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,3,13. Management of national tax policies and effective use of Government revenue,30. Sri Lanka Insurance Corporation and its subsidiaries and affiliated companies,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,4,14. Coordination of public and private sector activities for economic development,31. Credit Information Bureau,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,5,15. Coordination with international agencies and mobilization of foreign resources for economic development,32. Department of the Registrar of Companies,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,6,16. Liaising with donor agencies and international financial institutions,33. Securities and Exchange Commission of Sri Lanka,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,7,17. Enforcement of Government Financial Regulations,34. Sri Lanka Accounting and Auditing Standard Monitoring Board,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,8,18. Management of the Consolidated Fund,35. Public Utilities Commission of Sri Lanka,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,9,19. Overall supervision of revenue agencies,36. Sri Lanka Export Credit Insurance Corporation,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,10,20. Provision of direction and guidance to State Banks and Financial Agencies,37. Housing Development Finance Corporation,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,11,21. Public expenditure management,38. State Mortgage and Investment Bank,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,12,"22. Preparation of policies, guidelines and regulations on government procurement and provision of advice on same",39. Regional Development Bank,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,13,"23. Maintenance of information on state property such as vehicles, buildings, lands owned by all government institutions and development of methods to utilize such resources efficiently and effectively.",40. Tax Appeals Commission,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,14,Duties & Functions,,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,15,Supervision of departmental and other public funds,"Departments, Statutory Institutions & Public Corporations",
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,16,Maintenance of Treasury Minutes on reports of the Public Accounts Committee,National Insurance Trust Fund,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,17,Cadre management and advisory services on fixing of salaries,Employees' Trust Fund,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,18,Monetary policy formulation and macroeconomic management in coordination with the Central Bank of Sri Lanka,Lady Lochore Fund,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,19,Revenue collection and expenditure monitoring,Board of Investment of Sri Lanka,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,20,Formulation of guidelines for the promotion of management audit in departments,Colombo Port City Economic Commission,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,21,Regulation of insurance industry,Department of Telecommunications,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,22,"Financial administration of Public Corporations, Statutory Boards and Government Owned Companies",Wildlife Trust,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,23,Development of Colombo Port City Special Economic Zone as an International Business and Services Hub with specialized infrastructure and other facilities aimed at national interest and economic advancement.,Sri Lanka Media Training Institute,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,24,Finalizethe liquidation and amalgamation work of Institutions listed in Column II from item No. 52 to 59.,"Pulse Crops, Grain Research and Production Authority",
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,25,All other subjects that come under the purview of Institutions listed in Column II,Janatha Fertilizer Enterprises Ltd,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,26,Supervision of all the Institutions listed in Column II,Protection of Children National Trust Fund,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,27,,Institutions coming under the Revival (Removal) of Underperforming Enterprises or Underutilized Assets Act vested to the Secretary to the Treasury,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,28,,,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,29,,,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,30,,,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,31,,,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,32,,,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,33,,,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,34,,,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,35,,,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,36,,,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,37,,,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,38,,,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,39,,,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,40,,,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,41,,,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,42,,,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,43,,,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,44,,,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,45,,,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,46,,,
