Minister,Row_ID,Column I,Column II,Column III
MINISTER_OF_IRRIGATION_CONTD.,1,Duties & Functions,,"Departments, Statutory Institutions & Public Corporations"
MINISTER_OF_IRRIGATION_CONTD.,2,6. Control flood and drainage through flood control schemes,,
MINISTER_OF_IRRIGATION_CONTD.,3,7. Proper management of reservoirs and irrigation facilities required for electricity supply and drinking water whilst giving priority for agricultural development in principle.,,
MINISTER_OF_IRRIGATION_CONTD.,4,8. Determine catchment areas and river basins and take necessary measures for their sustainable conservation and development,,
MINISTER_OF_IRRIGATION_CONTD.,5,"9. Prevention of environmental pollution in water sources such as rivers, canals and tanks",,
MINISTER_OF_IRRIGATION_CONTD.,6,10. Developing strategies for controlling water pollution and protection of water quality,,
MINISTER_OF_IRRIGATION_CONTD.,7,11. Implementation of irrigation development programmes,,
MINISTER_OF_IRRIGATION_CONTD.,8,12. Formulation of dam safety measures,,
MINISTER_OF_IRRIGATION_CONTD.,9,13. Implementation of sea water elimination schemes,,
MINISTER_OF_IRRIGATION_CONTD.,10,14. Formulation of programmes and projects for the conservation of underground water resources and rain water conservation,,
MINISTER_OF_IRRIGATION_CONTD.,11,15. Implementation of development programmes in Mahaweli zones and land related activities,,
MINISTER_OF_IRRIGATION_CONTD.,12,16. All other subjects that come under the purview of Institutions listed in Column II,,
MINISTER_OF_IRRIGATION_CONTD.,13,17. Supervision of all Institutions listed in Column II,,
MINISTER_OF_IRRIGATION_CONTD.,14,Duties & Functions,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinances to be Implemented
MINISTER_OF_IRRIGATION_CONTD.,15,"1. Formulation, implementation, monitoring and evaluation of policies, programmes and projects, in relation to the subjects of Labour and Foreign employment, and those subjects that come under the purview of Departments, Statutory Institutions and Public Corporations listed in Column II based on the national policies implemented by the government.","1. Department of Labour
2. National Institute ofLabour Studies
3. National Institute forOccupationalSafety and Health
4. Office ofthe Commissioner ofWorkmen'sCompensation
5. NationalProductivitySecretariat
6. ShramaVasanaFund
7. Department ofManpowerandEmployment
8. SriLankaForeignEmploymentBureau
9. ForeignEmploymentAgencyofSriLanka(Pvt.)Ltd.","• Employees'CouncilsAct,No.32of1979
•Employees'ProvidentFundAct,No.15of1958
•EmploymentofWomen,YoungPersons,andChildrenAct,No.47of1956
•FactoriesOrdinanceNo.45of1942
•IndustrialDisputesAct,No.43of1950
•MaternityBenefitsOrdinanceNo.32of1939
•NationalInstituteofOccupationalSafetyandHealthAct,No.38of2009
•PaymentofGratuityActNo.12of1983
•ShopandOfficeEmployees(RegulationofEmploymentandRemuneration)ActNo.19of1954
•TerminationofEmploymentofWorkmen(SpecialProvisions)Act,No.45of1971
•TradeUnionOrdinanceNo.14of1935
•WagesBoardsOrdinanceNo.27of1941
•CompensationOrdinanceNo.19of1934
•ShramaVasanaFundActNo.12of1998
•SriLankaBureauofForeignEmploymentAct,No.21of1985
•Fee-ChargingEmploymentAgenciesActNo.37of1956
•AllotherlegislationspertainingtothesubjectsspecifiedinColumnsIandIIthathavenotspecificallybroughtundertheperviewofanyotherMinister."
MINISTER_OF_IRRIGATION_CONTD.,16,2. Provision of public services under the purview of the Ministry in an efficient and people friendly manner,,
MINISTER_OF_IRRIGATION_CONTD.,17,"3. Reforming all systems and procedures using modern management techniques and technology, thus ensuring that the functions of the Ministry are fulfilled while eliminating corruption and waste.",,
MINISTER_OF_IRRIGATION_CONTD.,18,"4. Formulation and implementation of policies for labour relations standards, employee administration, welfare and health in line with international standards.",,
MINISTER_OF_IRRIGATION_CONTD.,19,5. Maintain cooperation with International Labour Organization and International Social Security Association,,
MINISTER_OF_IRRIGATION_CONTD.,20,"6. Administration and regulation of Employees' Provident Fund, Private Provident Fund and Private pension schemes",,
MINISTER_OF_IRRIGATION_CONTD.,21,7. Industrial relations and arbitration of industrial disputes,,
