Minister,Row_ID,Column I,Column II,Column III
MINISTER_OF_JUSTICE_PRISONS_AFFAIRS_AND_CONSTITUTIONAL_REFORMS_CONTINUED,1,Duties & Functions,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_JUSTICE_PRISONS_AFFAIRS_AND_CONSTITUTIONAL_REFORMS_CONTINUED,2,4. Effect necessary reforms to the legal system taking into consideration social requirements and global trends.,13. Office for National Unity and Reconciliation,"<br/>Judges Institute of Sri Lanka Act, No. 46 of 1985<br/>Law Commission Act, No. 3 of 1969<br/>Legal Aid Law, No. 11 of 1978<br/>Mediation Boards Act, No. 72 of 1988<br/>Prevention of Frauds Ordinance, No. 7 of 1840<br/>Prevention of Social Disability Act, No. 21 of 1957<br/>Primary Courts' Procedure Act, No. 44 of 1979<br/>The Crown (Liability in Delicts) Act, No. 22 of 1969<br/>Prevention of Crimes Ordinance, No. 2 of 1926<br/>Quazi Courts (validation of appointment) Act<br/>Assistance to and Protection of Victims of Crime and Witnesses Act, No. 4 of 2015<br/>Commercial Mediation Centre of Sri Lanka Act, No. 44 of 2000<br/>Office of the Missing Persons (Establishment, Administration and Discharge of functions) Act, No.14 of 2016<br/>Office for Reparations Act No. 34 of 2018<br/>Prisons Ordinance, No. 16 of 1877<br/>Youthful Offenders (Training Schools) Ordinance, No. 28 of 1939<br/>Community Based Corrections Act, No. 46 of 1999"
MINISTER_OF_JUSTICE_PRISONS_AFFAIRS_AND_CONSTITUTIONAL_REFORMS_CONTINUED,3,5. Re-documentation and consolidation of laws,15. Office for Reparations,
MINISTER_OF_JUSTICE_PRISONS_AFFAIRS_AND_CONSTITUTIONAL_REFORMS_CONTINUED,4,6. Matters relating to the administration of the courts of justice which have not been assigned to any other party by the Constitution,16. National Authority for the Protection of Victims of Crime and Witnesses,
MINISTER_OF_JUSTICE_PRISONS_AFFAIRS_AND_CONSTITUTIONAL_REFORMS_CONTINUED,5,"7. Conduct all activities relating to overall administration, including prevention of law's delays in the courts system, in a methodical and efficient manner, and introduce modern technology for such purpose.",17. Department of Prisons,
MINISTER_OF_JUSTICE_PRISONS_AFFAIRS_AND_CONSTITUTIONAL_REFORMS_CONTINUED,6,8. Criminal prosecutions and civil proceedings on behalf of the government,18. Community Based Correction Department,
MINISTER_OF_JUSTICE_PRISONS_AFFAIRS_AND_CONSTITUTIONAL_REFORMS_CONTINUED,7,9. Provide legal advice to the government and to all government departments,19. Training Schools for Youthful Offenders,
MINISTER_OF_JUSTICE_PRISONS_AFFAIRS_AND_CONSTITUTIONAL_REFORMS_CONTINUED,8,10. Drafting of legislation,20. Rehabilitation Commissioner General's Office,
MINISTER_OF_JUSTICE_PRISONS_AFFAIRS_AND_CONSTITUTIONAL_REFORMS_CONTINUED,9,"11. Make recommendations to grant pardons, commutations, remissions, respites and suspensions in relation to sentences passed on any offender",,
MINISTER_OF_JUSTICE_PRISONS_AFFAIRS_AND_CONSTITUTIONAL_REFORMS_CONTINUED,10,12. Formulation and implementation of an appropriate programme to enhance the effectiveness and efficiency of the overall Quazi system,,
MINISTER_OF_JUSTICE_PRISONS_AFFAIRS_AND_CONSTITUTIONAL_REFORMS_CONTINUED,11,13. Administration of labour tribunals and other related matters,,
MINISTER_OF_JUSTICE_PRISONS_AFFAIRS_AND_CONSTITUTIONAL_REFORMS_CONTINUED,12,Duties & Functions,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_JUSTICE_PRISONS_AFFAIRS_AND_CONSTITUTIONAL_REFORMS_CONTINUED,13,14. Empower the Mediation Boards mechanism to resolve civil disputes without resort to the courts,,All other legislations pertaining to the subjects specified in Column I and II that have not been specifically brought under the purview of any other Minister
MINISTER_OF_JUSTICE_PRISONS_AFFAIRS_AND_CONSTITUTIONAL_REFORMS_CONTINUED,14,15. Provide the latest knowledge and technical training on law enforcement procedures and mechanisms to relevant persons,,
MINISTER_OF_JUSTICE_PRISONS_AFFAIRS_AND_CONSTITUTIONAL_REFORMS_CONTINUED,15,16. Conduct activities relating to the provision of assistance to and protection of victims of crime and witnesses.,,
MINISTER_OF_JUSTICE_PRISONS_AFFAIRS_AND_CONSTITUTIONAL_REFORMS_CONTINUED,16,17. Conduct activities relating to search of missing persons and protecting the rights of missing persons and their relatives,,
MINISTER_OF_JUSTICE_PRISONS_AFFAIRS_AND_CONSTITUTIONAL_REFORMS_CONTINUED,17,18. Conduct activities relating to compensation for persons affected by conflicts and crises.,,
MINISTER_OF_JUSTICE_PRISONS_AFFAIRS_AND_CONSTITUTIONAL_REFORMS_CONTINUED,18,19. Promotion of national integration and reconciliation and lasting peace in the country and formulation of a policy framework for the said purpose,,
MINISTER_OF_JUSTICE_PRISONS_AFFAIRS_AND_CONSTITUTIONAL_REFORMS_CONTINUED,19,20. Introduction and implementation of programmes for dialogue to establish solidarity and co-existence among communities,,
