Minister,Row_ID,Column I,Column II,Column III
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,1,Duties & Functions,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,2,Statutory Institutions and Public Corporations listed in Column II based on the national policies implemented by the government.,"5. National Physical Planning Department
6. Condominium Management Authority (Common Amenities Board)
7. Sri Lanka Land Development Corporation and its subsidiaries and related institutions
8. National Housing Development Authority
9. Building Material Corporation Limited
10. Department of Buildings
11. Department of Government Factories
12. Construction Industry Development Authority
13. State Engineering Corporation
14. National Equipment and Machinery Organization
15. Ocean View Development (Pvt) Ltd.
16. Marine Environment Protection Authority
17. Department of Coast Conservation and Coastal Resource Management
18. New Villages Development Authority for Plantation Region
19. Plantation Human Development Trust
20. Saumyamoothi Thondaman Memorial Foundation
21. Estate Sector Self-Employment Revolving Fund","• Town and Country Planning Ordinance, No. 13 of 1946
• Apartment ownership Act No. 11 of 1973
• Apartment Ownership (Special Provisions) Act No. 23, 2018
• Apartment Ownership (Special Provisions) Act No. 04, 1999
• Common Amenities Board Act No. 10 of 1973
• Colombo District (Low Lying Areas) Reclamation and Development Board Act, No. 15 of 1968
• National Housing Development Authority Act No.17 of 1979
• Industries Development Act, No. 33 of 2014
• Marine Pollution Prevention Act, No. 35 of 2008
• Coast Conservation Act, No. 57 of 1981
• New Villages Development Authority for Plantation Region Act, No. 32 of 2018
• Saumyamoothi Thondaman Memorial Foundation Act, No. 19 of 2005
• All other legislations pertaining to the subjects specified in Column I and II that have not been specifically brought under the purview of any other Minister."
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,3,,,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,4,Provision of public services under the purview of the Ministry in an efficient and people friendly manner,,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,5,"Reforming all systems and procedures using modern management techniques and technology, thus ensuring that the functions of the Ministry are fulfilled while eliminating corruption and waste.",,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,6,Planning and development of metropolis and suburbs,,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,7,"Systematic promotion and regulation of integrated economic, social and physical development of urban areas",,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,8,Construction and development of housing complexes for shanty dwellers and low income groups.,,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,9,Implementation of new housing projects and provision of credit facilities to resolve housing problems of middle class families,,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,10,Introducing storied housing schemes on reasonable rental basis for those seeking temporary residency on rent basis,,
